Date,KIM,KLAC,AIG,MS,HON,SYY,INTU,BIO,LRCX,NEM,LUV,BA,PPG,LHX,WM,CAG,MTD,MAA,CPB,MTB,DLTR,WBA,UNH,IRM,RJF,VRSN,ILMN,ADM,POOL,WEC,NVDA,GWW,BLK,ZBH,LUMN,VNO,MSFT,HIG,FDX,LOW,MAR,MCK,WST,DHI,AVB,WHR,HES,EMN,MET,MDLZ
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05684,0.0,0.0,0.12004,0.0,0.0,0.0,0.06482,0.0,0.08751,0.0,0.0,0.0,0.03894,0.0,0.04066,0.41341,0.0,0.0,0.00665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05684,0.0,0.0,0.12004,0.0,0.0,0.0,0.06482,0.0,0.08751,0.0,0.0,0.0,0.03894,0.0,0.04066,0.41341,0.0,0.0,0.00665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05684,0.0,0.0,0.12004,0.0,0.0,0.0,0.06482,0.0,0.08751,0.0,0.0,0.0,0.03894,0.0,0.04066,0.41341,0.0,0.0,0.00665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05684,0.0,0.0,0.12004,0.0,0.0,0.0,0.06482,0.0,0.08751,0.0,0.0,0.0,0.03894,0.0,0.04066,0.41341,0.0,0.0,0.00665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05684,0.0,0.0,0.12004,0.0,0.0,0.0,0.06482,0.0,0.08751,0.0,0.0,0.0,0.03894,0.0,0.04066,0.41341,0.0,0.0,0.00665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05751,0.0,0.0,0.1249,0.0,0.0,0.0,0.06404,0.0,0.08863,0.0,0.0,0.0,0.04177,0.0,0.03639,0.40085,0.0,0.0,0.01209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05751,0.0,0.0,0.1249,0.0,0.0,0.0,0.06404,0.0,0.08863,0.0,0.0,0.0,0.04177,0.0,0.03639,0.40085,0.0,0.0,0.01209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05751,0.0,0.0,0.1249,0.0,0.0,0.0,0.06404,0.0,0.08863,0.0,0.0,0.0,0.04177,0.0,0.03639,0.40085,0.0,0.0,0.01209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05751,0.0,0.0,0.1249,0.0,0.0,0.0,0.06404,0.0,0.08863,0.0,0.0,0.0,0.04177,0.0,0.03639,0.40085,0.0,0.0,0.01209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05751,0.0,0.0,0.1249,0.0,0.0,0.0,0.06404,0.0,0.08863,0.0,0.0,0.0,0.04177,0.0,0.03639,0.40085,0.0,0.0,0.01209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05767,0.0,0.0,0.12561,0.0,0.0,0.0,0.0678,0.0,0.09811,0.0,0.0,0.0,0.04101,0.0,0.03248,0.38671,0.0,0.0,0.02576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05767,0.0,0.0,0.12561,0.0,0.0,0.0,0.0678,0.0,0.09811,0.0,0.0,0.0,0.04101,0.0,0.03248,0.38671,0.0,0.0,0.02576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05767,0.0,0.0,0.12561,0.0,0.0,0.0,0.0678,0.0,0.09811,0.0,0.0,0.0,0.04101,0.0,0.03248,0.38671,0.0,0.0,0.02576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05767,0.0,0.0,0.12561,0.0,0.0,0.0,0.0678,0.0,0.09811,0.0,0.0,0.0,0.04101,0.0,0.03248,0.38671,0.0,0.0,0.02576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05767,0.0,0.0,0.12561,0.0,0.0,0.0,0.0678,0.0,0.09811,0.0,0.0,0.0,0.04101,0.0,0.03248,0.38671,0.0,0.0,0.02576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04861,0.0,0.0,0.13069,0.0,0.0,0.0,0.06832,0.0,0.10203,0.0,0.0,0.0,0.04024,0.0,0.03715,0.38088,0.0,0.0,0.02763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04861,0.0,0.0,0.13069,0.0,0.0,0.0,0.06832,0.0,0.10203,0.0,0.0,0.0,0.04024,0.0,0.03715,0.38088,0.0,0.0,0.02763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04861,0.0,0.0,0.13069,0.0,0.0,0.0,0.06832,0.0,0.10203,0.0,0.0,0.0,0.04024,0.0,0.03715,0.38088,0.0,0.0,0.02763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04861,0.0,0.0,0.13069,0.0,0.0,0.0,0.06832,0.0,0.10203,0.0,0.0,0.0,0.04024,0.0,0.03715,0.38088,0.0,0.0,0.02763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04861,0.0,0.0,0.13069,0.0,0.0,0.0,0.06832,0.0,0.10203,0.0,0.0,0.0,0.04024,0.0,0.03715,0.38088,0.0,0.0,0.02763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07149,0.0,0.0,0.12782,0.0,0.0,0.0,0.06857,0.0,0.09406,0.0,0.0,0.0,0.03768,0.0,0.03662,0.3853,0.0,0.0,0.01582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07149,0.0,0.0,0.12782,0.0,0.0,0.0,0.06857,0.0,0.09406,0.0,0.0,0.0,0.03768,0.0,0.03662,0.3853,0.0,0.0,0.01582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07149,0.0,0.0,0.12782,0.0,0.0,0.0,0.06857,0.0,0.09406,0.0,0.0,0.0,0.03768,0.0,0.03662,0.3853,0.0,0.0,0.01582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07149,0.0,0.0,0.12782,0.0,0.0,0.0,0.06857,0.0,0.09406,0.0,0.0,0.0,0.03768,0.0,0.03662,0.3853,0.0,0.0,0.01582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07149,0.0,0.0,0.12782,0.0,0.0,0.0,0.06857,0.0,0.09406,0.0,0.0,0.0,0.03768,0.0,0.03662,0.3853,0.0,0.0,0.01582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07486,0.0,0.0,0.12933,0.0,0.0,0.0,0.06394,0.0,0.0971,0.0,0.0,0.0,0.03944,0.0,0.0411,0.37425,0.0,0.0,0.01641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07486,0.0,0.0,0.12933,0.0,0.0,0.0,0.06394,0.0,0.0971,0.0,0.0,0.0,0.03944,0.0,0.0411,0.37425,0.0,0.0,0.01641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07486,0.0,0.0,0.12933,0.0,0.0,0.0,0.06394,0.0,0.0971,0.0,0.0,0.0,0.03944,0.0,0.0411,0.37425,0.0,0.0,0.01641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07486,0.0,0.0,0.12933,0.0,0.0,0.0,0.06394,0.0,0.0971,0.0,0.0,0.0,0.03944,0.0,0.0411,0.37425,0.0,0.0,0.01641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07486,0.0,0.0,0.12933,0.0,0.0,0.0,0.06394,0.0,0.0971,0.0,0.0,0.0,0.03944,0.0,0.0411,0.37425,0.0,0.0,0.01641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07747,0.0,0.0,0.11779,0.0,0.0,0.0,0.06174,0.0,0.09767,0.0,0.0,0.0,0.03964,0.0,0.04581,0.37901,0.0,0.0,0.01709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07747,0.0,0.0,0.11779,0.0,0.0,0.0,0.06174,0.0,0.09767,0.0,0.0,0.0,0.03964,0.0,0.04581,0.37901,0.0,0.0,0.01709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07747,0.0,0.0,0.11779,0.0,0.0,0.0,0.06174,0.0,0.09767,0.0,0.0,0.0,0.03964,0.0,0.04581,0.37901,0.0,0.0,0.01709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07747,0.0,0.0,0.11779,0.0,0.0,0.0,0.06174,0.0,0.09767,0.0,0.0,0.0,0.03964,0.0,0.04581,0.37901,0.0,0.0,0.01709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07747,0.0,0.0,0.11779,0.0,0.0,0.0,0.06174,0.0,0.09767,0.0,0.0,0.0,0.03964,0.0,0.04581,0.37901,0.0,0.0,0.01709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.08165,0.0,0.0,0.11709,0.0,0.0,0.0,0.0625,0.0,0.09693,0.0,0.0,0.0,0.04079,0.0,0.05753,0.38159,0.0,0.0,0.01575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13959,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.08165,0.0,0.0,0.11709,0.0,0.0,0.0,0.0625,0.0,0.09693,0.0,0.0,0.0,0.04079,0.0,0.05753,0.38159,0.0,0.0,0.01575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13959,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.08165,0.0,0.0,0.11709,0.0,0.0,0.0,0.0625,0.0,0.09693,0.0,0.0,0.0,0.04079,0.0,0.05753,0.38159,0.0,0.0,0.01575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13959,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.08165,0.0,0.0,0.11709,0.0,0.0,0.0,0.0625,0.0,0.09693,0.0,0.0,0.0,0.04079,0.0,0.05753,0.38159,0.0,0.0,0.01575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13959,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.08165,0.0,0.0,0.11709,0.0,0.0,0.0,0.0625,0.0,0.09693,0.0,0.0,0.0,0.04079,0.0,0.05753,0.38159,0.0,0.0,0.01575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13959,0.0,0.0,0.0,0.0,0.0,0.0,0.0
