Date,Open,High,Low,Close,Adj Close,Volume
2001-01-02,40.0,41.5625,40.0,41.1875,27.736248016357422,13349400.0
2001-01-03,40.875,42.75,39.1875,42.6875,28.746383666992188,16253500.0
2001-01-04,41.75,44.8125,41.75,43.625,29.377721786499023,19779200.0
2001-01-05,43.625,43.875,40.0,41.3125,27.820436477661133,11955900.0
2001-01-08,40.8125,42.0625,40.0625,41.9375,28.24131965637207,4264300.0
2001-01-09,42.0,43.0,41.6875,41.8125,28.157133102416992,5973600.0
2001-01-10,41.0625,41.3125,39.0,40.6875,27.39954948425293,10842500.0
2001-01-11,40.5625,41.6875,39.75,41.3125,27.820436477661133,5128800.0
2001-01-12,41.375,44.0625,40.4375,43.0625,28.998918533325195,7726600.0
2001-01-15,,,,,,
2001-01-16,43.25,43.9375,42.875,43.5625,29.33561134338379,5344300.0
2001-01-17,43.875,44.25,41.0625,41.4375,27.904605865478516,5520100.0
2001-01-18,41.875,42.4375,41.25,41.4375,27.904605865478516,4920800.0
2001-01-19,41.4375,41.6875,40.3125,40.4375,27.231199264526367,6090600.0
2001-01-22,41.0,42.875,39.75,42.25,28.451753616333008,7135600.0
2001-01-23,42.0,42.8125,41.625,42.5,28.620105743408203,5472400.0
2001-01-24,42.5,43.0,41.375,42.9375,28.914737701416016,6070400.0
2001-01-25,42.8125,43.5625,41.1875,43.1875,29.083091735839844,7484700.0
2001-01-26,43.4375,43.6875,41.125,41.25,27.77834129333496,5766900.0
2001-01-29,41.875,44.25,41.4375,44.0625,29.672334671020508,5208000.0
2001-01-30,44.0,44.125,42.875,43.75,29.461868286132812,3954100.0
2001-01-31,43.75,46.375,43.6875,46.25,31.145418167114258,9318900.0
2001-02-01,45.875,46.3125,44.375,46.25,31.145418167114258,6449600.0
2001-02-02,45.875,46.375,43.875,43.9375,29.588157653808594,6157500.0
2001-02-05,44.375,44.375,42.015625,43.1875,29.083091735839844,5229800.0
2001-02-06,43.0625,45.125,43.0,43.75,29.461868286132812,5585600.0
2001-02-07,43.75,45.3125,43.5625,45.25,30.47199058532715,4313200.0
2001-02-08,45.625,46.0,42.8125,42.875,28.87262725830078,5656000.0
2001-02-09,42.9375,43.875,40.8125,41.3125,27.820436477661133,4396200.0
2001-02-12,41.6875,42.6875,41.375,42.4375,28.57801628112793,4024300.0
2001-02-13,42.75,43.5,41.3125,42.9375,28.914737701416016,3532500.0
2001-02-14,43.0,44.3125,42.875,43.6875,29.41979217529297,3786800.0
2001-02-15,43.9375,44.0,41.875,42.8125,28.830551147460938,5465100.0
2001-02-16,41.875,43.5,41.625,42.6875,28.746383666992188,4396800.0
2001-02-19,,,,,,
2001-02-20,42.375,44.25,42.375,44.125,29.71439552307129,5130100.0
2001-02-21,43.8125,44.25,41.0,42.0,28.283409118652344,6097200.0
2001-02-22,42.0,42.3125,40.5625,41.875,28.199228286743164,4175700.0
2001-02-23,41.8125,42.0625,39.75,41.375,27.862516403198242,5331300.0
2001-02-26,41.875,43.0,41.8125,42.875,28.87262725830078,3528900.0
2001-02-27,42.875,43.3125,41.921875,43.0,28.956815719604492,5412200.0
2001-02-28,43.125,43.75,40.9375,41.75,28.11505889892578,4541200.0
2001-03-01,41.375,41.5,39.1875,40.3125,27.147014617919922,5401200.0
2001-03-02,40.0625,40.1875,38.0625,38.6875,26.052717208862305,6332700.0
2001-03-05,38.875,39.25,37.0,37.6875,25.379301071166992,4652800.0
2001-03-06,38.125,40.1875,37.5,37.8125,25.4634952545166,12305400.0
2001-03-07,38.125,40.0625,37.9375,39.9375,26.894493103027344,9365700.0
2001-03-08,40.1875,43.109375,39.3125,40.1875,27.062843322753906,18114700.0
2001-03-09,39.75,40.625,39.0,39.375,26.51569175720215,5296300.0
2001-03-12,39.125,39.5,37.6875,37.9375,25.547666549682617,5325400.0
2001-03-13,38.125,39.375,37.5,38.0625,25.631834030151367,4371300.0
2001-03-14,37.1875,37.5,36.125,36.5,24.579626083374023,5568400.0
2001-03-15,37.375,38.0625,36.75,37.625,25.33721923828125,3920600.0
2001-03-16,36.609375,37.625,36.5,37.125,25.000505447387695,5875900.0
2001-03-19,37.125,38.4375,35.5625,38.1875,25.716007232666016,4065200.0
2001-03-20,39.1875,40.75,38.75,39.5,26.59987449645996,9488400.0
2001-03-21,39.1875,39.9375,38.25,38.375,25.8422794342041,4836200.0
2001-03-22,38.6875,38.75,35.6875,37.25,25.08469009399414,5285000.0
2001-03-23,37.5625,37.6875,35.3125,37.0625,24.958425521850586,7811600.0
2001-03-26,37.75,38.5,37.0,37.875,25.505571365356445,2949400.0
2001-03-27,37.9375,38.8125,37.0625,37.9375,25.547666549682617,6082000.0
2001-03-28,37.6875,38.5625,36.5625,37.6875,25.379301071166992,4666900.0
2001-03-29,37.5,38.171875,36.875,37.9375,25.547666549682617,2704700.0
2001-03-30,37.9375,39.375,37.1875,39.25,26.431516647338867,3652700.0
2001-04-02,38.8125,38.8125,36.0,36.1875,24.369186401367188,8848900.0
2001-04-03,36.625,37.125,33.875,34.0625,22.93817710876465,8917700.0
2001-04-04,34.34375,36.0,34.0,35.0,23.569503784179688,5525300.0
2001-04-05,35.875,36.125,35.125,36.0,24.242910385131836,5340200.0
2001-04-06,35.625,36.25,34.6875,35.5625,23.94829750061035,3632200.0
2001-04-09,36.09000015258789,36.099998474121094,34.650001525878906,34.790000915527344,23.428081512451172,2902900.0
2001-04-10,35.099998474121094,36.0,34.95000076293945,35.72999954223633,24.061098098754883,4764000.0
2001-04-11,36.099998474121094,36.56999969482422,35.06999969482422,36.27000045776367,24.42473793029785,5322500.0
2001-04-12,36.130001068115234,36.400001525878906,35.119998931884766,36.310001373291016,24.451677322387695,5121000.0
2001-04-13,,,,,,
2001-04-16,36.25,36.380001068115234,34.869998931884766,34.970001220703125,23.549301147460938,5238300.0
2001-04-17,34.84000015258789,36.5,34.54999923706055,36.279998779296875,24.43147850036621,6327600.0
2001-04-18,36.849998474121094,40.369998931884766,36.650001525878906,38.36000061035156,25.832176208496094,7148500.0
2001-04-19,38.0099983215332,38.27000045776367,35.869998931884766,36.97999954223633,24.902862548828125,8050700.0
2001-04-20,36.65999984741211,36.91999816894531,35.29999923706055,36.54999923706055,24.61329460144043,3014500.0
2001-04-23,36.79999923706055,37.599998474121094,36.16999816894531,36.2400016784668,24.404544830322266,3089900.0
2001-04-24,33.290000915527344,34.90999984741211,33.16999816894531,34.279998779296875,23.08466148376465,16655300.0
2001-04-25,34.38999938964844,35.0,33.900001525878906,34.970001220703125,23.549301147460938,3808600.0
2001-04-26,35.0,35.599998474121094,34.61000061035156,34.779998779296875,23.421348571777344,2985100.0
2001-04-27,35.290000915527344,37.0,34.5,35.31999969482422,23.78499412536621,5103100.0
2001-04-30,35.7400016784668,36.31999969482422,34.900001525878906,34.93000030517578,23.522377014160156,4457200.0
2001-05-01,35.040000915527344,36.0,34.810001373291016,35.91999816894531,24.189054489135742,4024800.0
2001-05-02,35.93000030517578,36.2599983215332,35.619998931884766,36.040000915527344,24.269851684570312,3877400.0
2001-05-03,36.0,36.220001220703125,35.2400016784668,35.400001525878906,23.8388729095459,3386400.0
2001-05-04,34.83000183105469,36.27000045776367,34.470001220703125,35.869998931884766,24.155378341674805,4599900.0
2001-05-07,35.650001525878906,35.75,34.5099983215332,34.7400016784668,23.39441680908203,3045400.0
2001-05-08,35.0,35.040000915527344,33.95000076293945,34.77000045776367,23.41461944580078,6955200.0
2001-05-09,34.61000061035156,34.959999084472656,34.33000183105469,34.810001373291016,23.441553115844727,5220300.0
2001-05-10,36.0099983215332,37.290000915527344,35.900001525878906,35.939998626708984,24.20250701904297,8143400.0
2001-05-11,36.040000915527344,36.5,35.40999984741211,35.4900016784668,23.89948844909668,5808800.0
2001-05-14,35.5,36.29999923706055,35.349998474121094,36.11000061035156,24.317005157470703,3786900.0
2001-05-15,36.09000015258789,36.5,35.43000030517578,35.54999923706055,23.939882278442383,2574100.0
2001-05-16,35.529998779296875,36.400001525878906,34.83000183105469,36.150001525878906,24.343931198120117,3377200.0
2001-05-17,36.13999938964844,36.599998474121094,36.060001373291016,36.29999923706055,24.444944381713867,4841200.0
2001-05-18,36.33000183105469,38.400001525878906,35.66999816894531,35.779998779296875,24.094772338867188,3500300.0
2001-05-21,35.88999938964844,37.060001373291016,35.63999938964844,37.029998779296875,24.93653106689453,5857700.0
2001-05-22,37.150001525878906,38.47999954223633,37.08000183105469,37.88999938964844,25.51567268371582,4740200.0
2001-05-23,37.86000061035156,37.900001525878906,36.709999084472656,36.849998474121094,24.815324783325195,3513500.0
2001-05-24,36.959999084472656,37.81999969482422,36.599998474121094,37.79999923706055,25.455066680908203,4340800.0
2001-05-25,37.86000061035156,38.06999969482422,37.119998931884766,37.599998474121094,25.320384979248047,3664000.0
2001-05-28,,,,,,
2001-05-29,37.689998626708984,37.70000076293945,36.599998474121094,36.779998779296875,24.768177032470703,3001700.0
2001-05-30,36.349998474121094,37.849998474121094,36.20000076293945,37.290000915527344,25.111631393432617,6675900.0
2001-05-31,37.099998474121094,39.38999938964844,36.75,38.90999984741211,26.202560424804688,14358600.0
2001-06-01,39.209999084472656,39.779998779296875,37.5,38.779998779296875,26.115001678466797,6726600.0
2001-06-04,38.95000076293945,38.95000076293945,38.04999923706055,38.4900016784668,25.919721603393555,3682000.0
2001-06-05,38.54999923706055,40.0,38.540000915527344,39.75,26.768224716186523,3655200.0
2001-06-06,39.79999923706055,39.83000183105469,39.11000061035156,39.5,26.59987449645996,3377300.0
2001-06-07,39.38999938964844,41.040000915527344,39.150001525878906,41.0,27.6099910736084,5978100.0
2001-06-08,40.93000030517578,40.959999084472656,40.18000030517578,40.38999938964844,27.199203491210938,2421400.0
2001-06-11,40.34000015258789,40.34000015258789,39.619998931884766,39.77000045776367,26.781692504882812,3012500.0
2001-06-12,39.630001068115234,40.45000076293945,39.279998779296875,40.43000030517578,27.22614860534668,3911200.0
2001-06-13,40.380001068115234,41.25,40.25,40.4900016784668,27.266555786132812,3015000.0
2001-06-14,40.400001525878906,40.5,39.939998626708984,40.41999816894531,27.219411849975586,3676600.0
2001-06-15,40.43000030517578,40.900001525878906,39.90999984741211,40.5,27.27327537536621,4343500.0
2001-06-18,40.68000030517578,42.599998474121094,40.59000015258789,42.08000183105469,28.33727264404297,6065400.0
2001-06-19,42.369998931884766,42.970001220703125,42.349998474121094,42.45000076293945,28.586450576782227,6574900.0
2001-06-20,42.45000076293945,43.349998474121094,42.45000076293945,42.61000061035156,28.69419288635254,8263500.0
2001-06-21,42.61000061035156,44.04999923706055,42.59000015258789,43.619998931884766,29.374338150024414,6050300.0
2001-06-22,43.31999969482422,43.31999969482422,41.400001525878906,41.91999816894531,28.229536056518555,5761000.0
2001-06-25,42.02000045776367,42.04999923706055,40.84000015258789,41.95000076293945,28.249740600585938,4428300.0
2001-06-26,41.40999984741211,41.619998931884766,39.97999954223633,40.34000015258789,27.1655330657959,6200200.0
2001-06-27,40.400001525878906,41.45000076293945,39.20000076293945,39.72999954223633,26.754758834838867,3624600.0
2001-06-28,39.95000076293945,42.70000076293945,39.95000076293945,42.11000061035156,28.357484817504883,4014700.0
2001-06-29,41.79999923706055,42.75,40.5,41.08000183105469,27.663850784301758,2805000.0
2001-07-02,41.2599983215332,42.79999923706055,40.5,42.34000015258789,28.512372970581055,4023400.0
2001-07-03,42.16999816894531,42.95000076293945,41.650001525878906,42.13999938964844,28.377685546875,2215700.0
2001-07-04,,,,,,
2001-07-05,41.70000076293945,41.849998474121094,41.0,41.29999923706055,27.812021255493164,2569100.0
2001-07-06,41.290000915527344,41.599998474121094,40.38999938964844,40.40999984741211,27.21268653869629,2448200.0
2001-07-09,40.400001525878906,41.97999954223633,39.880001068115234,41.959999084472656,28.256471633911133,3449800.0
2001-07-10,41.68000030517578,42.5,41.349998474121094,41.689998626708984,28.07464599609375,2611300.0
2001-07-11,41.56999969482422,42.29999923706055,41.470001220703125,42.189998626708984,28.411346435546875,3490400.0
2001-07-12,42.5099983215332,43.45000076293945,42.0,43.130001068115234,29.04436683654785,7617800.0
2001-07-13,43.099998474121094,43.5,42.5,43.099998474121094,29.024150848388672,4765500.0
2001-07-16,43.13999938964844,44.54999923706055,43.099998474121094,44.5,29.966951370239258,6854400.0
2001-07-17,44.29999923706055,44.29999923706055,43.7400016784668,44.20000076293945,29.764909744262695,4123600.0
2001-07-18,44.08000183105469,44.099998474121094,43.59000015258789,43.630001068115234,29.381071090698242,4819800.0
2001-07-19,43.83000183105469,44.470001220703125,43.560001373291016,43.970001220703125,29.610015869140625,4181500.0
2001-07-20,43.90999984741211,44.650001525878906,43.900001525878906,44.34000015258789,29.859201431274414,2731000.0
2001-07-23,44.130001068115234,44.70000076293945,43.66999816894531,43.720001220703125,29.441680908203125,2629000.0
2001-07-24,43.529998779296875,43.75,41.310001373291016,42.02000045776367,28.296876907348633,4324300.0
2001-07-25,42.130001068115234,42.310001373291016,41.2599983215332,41.810001373291016,28.155458450317383,4155600.0
2001-07-26,41.810001373291016,42.27000045776367,40.970001220703125,42.20000076293945,28.4180850982666,2973600.0
2001-07-27,41.95000076293945,42.209999084472656,40.95000076293945,41.380001068115234,27.865875244140625,3677000.0
2001-07-30,41.7400016784668,42.810001373291016,41.63999938964844,42.08000183105469,28.33727264404297,3088300.0
2001-07-31,42.29999923706055,43.880001068115234,42.290000915527344,43.04999923706055,28.990497589111328,2715700.0
2001-08-01,43.18000030517578,43.849998474121094,42.06999969482422,42.25,28.451753616333008,1879000.0
2001-08-02,42.650001525878906,43.5,42.599998474121094,43.400001525878906,29.226179122924805,2701500.0
2001-08-03,43.4900016784668,43.84000015258789,43.0099983215332,43.0099983215332,28.96354103088379,2222700.0
2001-08-06,43.04999923706055,43.09000015258789,41.2599983215332,41.630001068115234,28.034244537353516,3319000.0
2001-08-07,41.619998931884766,42.5,41.400001525878906,42.15999984741211,28.39113998413086,3401300.0
2001-08-08,42.099998474121094,43.400001525878906,41.599998474121094,42.16999816894531,28.397890090942383,3956800.0
2001-08-09,41.349998474121094,41.79999923706055,40.099998474121094,40.90999984741211,27.549375534057617,4806400.0
2001-08-10,40.779998779296875,41.0099983215332,39.189998626708984,39.97999954223633,26.923120498657227,3072800.0
2001-08-13,40.02000045776367,40.7599983215332,39.77000045776367,40.70000076293945,27.40797233581543,2260600.0
2001-08-14,40.599998474121094,41.560001373291016,40.220001220703125,41.02000045776367,27.623470306396484,2030600.0
2001-08-15,41.06999969482422,41.29999923706055,39.599998474121094,39.70000076293945,26.73455047607422,2794000.0
2001-08-16,39.099998474121094,40.38999938964844,39.0,40.38999938964844,27.199203491210938,3216600.0
2001-08-17,40.0,40.2599983215332,38.959999084472656,39.40999984741211,26.539255142211914,2142100.0
2001-08-20,39.36000061035156,40.560001373291016,39.349998474121094,40.22999954223633,27.09145736694336,2119000.0
2001-08-21,40.58000183105469,40.77000045776367,38.25,38.689998626708984,26.054399490356445,3343100.0
2001-08-22,38.95000076293945,38.959999084472656,36.5,38.869998931884766,26.175607681274414,6103800.0
2001-08-23,38.88999938964844,39.36000061035156,38.2400016784668,38.599998474121094,25.993799209594727,4217500.0
2001-08-24,38.709999084472656,39.400001525878906,37.75,39.18000030517578,26.38437271118164,3228900.0
2001-08-27,39.099998474121094,39.849998474121094,38.939998626708984,39.459999084472656,26.57292366027832,2156400.0
2001-08-28,39.81999969482422,39.86000061035156,39.150001525878906,39.720001220703125,26.74802017211914,2689200.0
2001-08-29,39.79999923706055,40.099998474121094,38.5,38.84000015258789,26.155420303344727,2678600.0
2001-08-30,38.70000076293945,39.099998474121094,37.099998474121094,37.88999938964844,25.51567268371582,3758100.0
2001-08-31,37.59000015258789,38.72999954223633,37.060001373291016,37.40999984741211,25.192441940307617,3374500.0
2001-09-03,,,,,,
2001-09-04,37.54999923706055,39.0,37.25,37.65999984741211,25.360794067382812,3399400.0
2001-09-05,37.900001525878906,38.04999923706055,36.0,37.209999084472656,25.057750701904297,5072400.0
2001-09-06,36.5,37.099998474121094,34.02000045776367,35.02000045776367,23.582977294921875,6598100.0
2001-09-07,34.599998474121094,34.599998474121094,33.61000061035156,33.959999084472656,22.86914825439453,7915200.0
2001-09-10,33.599998474121094,34.59000015258789,33.599998474121094,34.16999816894531,23.010568618774414,2994600.0
2001-09-11,,,,,,
2001-09-12,,,,,,
2001-09-13,,,,,,
2001-09-14,,,,,,
2001-09-17,32.7599983215332,33.5,31.760000228881836,32.150001525878906,21.6502742767334,5666600.0
2001-09-18,32.279998779296875,32.88999938964844,31.610000610351562,32.29999923706055,21.751277923583984,4981800.0
2001-09-19,32.470001220703125,34.0,30.799999237060547,31.809999465942383,21.421314239501953,6548400.0
2001-09-20,31.510000228881836,32.31999969482422,31.020000457763672,31.530000686645508,21.23274803161621,6633300.0
2001-09-21,29.950000762939453,32.06999969482422,29.829999923706055,31.219999313354492,21.024003982543945,6373000.0
2001-09-24,31.700000762939453,34.220001220703125,31.600000381469727,33.5,22.55937385559082,6535300.0
2001-09-25,33.5,34.310001373291016,32.619998931884766,33.5099983215332,22.566116333007812,5410600.0
2001-09-26,33.900001525878906,34.47999954223633,33.630001068115234,33.66999816894531,22.673870086669922,5373500.0
2001-09-27,33.63999938964844,33.849998474121094,32.75,33.65999984741211,22.667137145996094,5084800.0
2001-09-28,33.650001525878906,35.599998474121094,33.5099983215332,35.560001373291016,23.94662094116211,5827500.0
2001-10-01,35.279998779296875,35.470001220703125,34.25,35.25,23.73785972595215,4274100.0
2001-10-02,35.20000076293945,35.65999984741211,34.779998779296875,35.4900016784668,23.89948844909668,3266300.0
2001-10-03,35.349998474121094,36.7400016784668,35.06999969482422,36.41999816894531,24.525753021240234,4955600.0
2001-10-04,36.58000183105469,36.70000076293945,35.040000915527344,35.220001220703125,23.717660903930664,4253200.0
2001-10-05,35.11000061035156,35.5,34.68000030517578,35.369998931884766,23.81867027282715,3541600.0
2001-10-08,35.04999923706055,35.619998931884766,33.79999923706055,34.040000915527344,22.92302894592285,3126900.0
2001-10-09,34.27000045776367,34.33000183105469,33.099998474121094,33.540000915527344,22.586322784423828,3020800.0
2001-10-10,33.650001525878906,35.79999923706055,33.45000076293945,35.75,24.074562072753906,6525700.0
2001-10-11,37.25,38.310001373291016,37.060001373291016,38.2400016784668,25.751361846923828,8790800.0
2001-10-12,37.709999084472656,38.599998474121094,37.5,38.36000061035156,25.832176208496094,6826800.0
2001-10-15,37.9900016784668,38.5,37.59000015258789,38.09000015258789,25.65035057067871,2791800.0
2001-10-16,38.4900016784668,39.29999923706055,38.29999923706055,39.18000030517578,26.38437271118164,3093500.0
2001-10-17,39.310001373291016,39.75,38.0,38.0099983215332,25.596477508544922,3910900.0
2001-10-18,37.939998626708984,37.95000076293945,37.0099983215332,37.900001525878906,25.52239990234375,2504500.0
2001-10-19,37.79999923706055,39.099998474121094,37.349998474121094,39.060001373291016,26.303573608398438,2501600.0
2001-10-22,38.599998474121094,39.38999938964844,38.380001068115234,39.0099983215332,26.2698974609375,2256400.0
2001-10-23,39.15999984741211,40.25,38.72999954223633,39.380001068115234,26.5190486907959,3365200.0
2001-10-24,39.4900016784668,39.9900016784668,39.04999923706055,39.7599983215332,26.77496337890625,3496400.0
2001-10-25,39.0099983215332,40.20000076293945,38.099998474121094,40.20000076293945,27.07126235961914,3843800.0
2001-10-26,39.79999923706055,40.54999923706055,39.31999969482422,40.52000045776367,27.28675651550293,2536600.0
2001-10-29,39.9900016784668,40.0,38.43000030517578,38.459999084472656,25.899520874023438,4367900.0
2001-10-30,38.16999816894531,38.470001220703125,37.0,37.529998779296875,25.273244857788086,3646100.0
2001-10-31,37.650001525878906,38.66999816894531,37.650001525878906,37.83000183105469,25.475263595581055,3659500.0
2001-11-01,38.0,39.95000076293945,37.29999923706055,39.41999816894531,26.54599380493164,3630400.0
2001-11-02,39.380001068115234,40.400001525878906,39.2400016784668,40.20000076293945,27.07126235961914,3124100.0
2001-11-05,40.400001525878906,41.79999923706055,40.36000061035156,41.06999969482422,27.657136917114258,5762700.0
2001-11-06,40.81999969482422,41.959999084472656,40.130001068115234,41.79999923706055,28.148727416992188,4413000.0
2001-11-07,41.68000030517578,42.0,40.61000061035156,41.369998931884766,27.859153747558594,4307500.0
2001-11-08,42.08000183105469,43.41999816894531,42.06999969482422,42.65999984741211,28.72785758972168,6319600.0
2001-11-09,42.369998931884766,43.279998779296875,42.310001373291016,43.04999923706055,28.990497589111328,5259700.0
2001-11-12,42.70000076293945,43.09000015258789,41.70000076293945,42.40999984741211,28.55950164794922,3472900.0
2001-11-13,42.9900016784668,43.18000030517578,42.400001525878906,43.06999969482422,29.003952026367188,3820800.0
2001-11-14,43.22999954223633,43.84000015258789,42.90999984741211,43.119998931884766,29.03762435913086,4782000.0
