account_rewards,date
7161.436920625623,2018-07-03
7361.594591761706,2018-07-05
12153.018944259617,2018-07-06
4420.376273702714,2018-07-09
-8062.392147257109,2018-07-10
6401.906929260236,2018-07-11
1691.4982084312942,2018-07-12
-179.06385321426205,2018-07-13
8854.508633581223,2018-07-16
10470.979671499226,2018-07-17
-118.94600675581023,2018-07-18
-4520.413103767438,2018-07-19
-779.9238098601345,2018-07-20
-1822.328736019088,2018-07-23
5123.408984428272,2018-07-24
8794.905389520805,2018-07-25
-1078.3746955816168,2018-07-26
-1168.2329718796536,2018-07-27
3941.829603164457,2018-07-30
-283.45755728310905,2018-07-31
81.87572644394822,2018-08-01
844.2001963043585,2018-08-02
462.0865989266895,2018-08-03
922.5276991499122,2018-08-06
-1225.8050404549576,2018-08-07
541.7893432942219,2018-08-08
-4328.604544788133,2018-08-09
-1262.0292576674838,2018-08-10
6477.293699539034,2018-08-13
-5240.2595013580285,2018-08-14
6042.57744331006,2018-08-15
1701.9421069563832,2018-08-16
2360.2792919550557,2018-08-17
5211.88944877428,2018-08-20
141.37480635079555,2018-08-21
-1656.3322068729904,2018-08-22
7086.1372815913055,2018-08-23
4821.734579097945,2018-08-24
1795.9523124922998,2018-08-27
4724.563864824362,2018-08-28
-17593.05147546786,2018-08-29
5572.715690303827,2018-08-30
2614.6794573585503,2018-08-31
3570.2166114347056,2018-09-04
2137.268896118272,2018-09-05
-3033.684817767935,2018-09-06
6769.429108537501,2018-09-07
1324.307590524666,2018-09-10
4197.986398539739,2018-09-11
-2369.9647936515976,2018-09-12
4040.912010986358,2018-09-13
-4261.444075622596,2018-09-14
3501.582950706361,2018-09-17
-3417.1165063742083,2018-09-18
1399.3344546165317,2018-09-19
-1628.7015898590907,2018-09-20
-10663.731430950109,2018-09-21
350.47223909571767,2018-09-24
-7756.087990940083,2018-09-25
-6435.458274747012,2018-09-26
4477.278700332623,2018-09-27
1890.3480643692892,2018-09-28
