account_rewards,date
523.3260732651688,2018-04-04
-12821.101059913635,2018-04-05
-60.7619169234531,2018-04-06
18228.002841964713,2018-04-09
-8113.089714050293,2018-04-10
11019.229162216187,2018-04-11
-8078.152641296387,2018-04-12
12789.909923553467,2018-04-13
14253.51213645935,2018-04-16
-1957.1548900604248,2018-04-17
-10871.728450775146,2018-04-18
-5937.051307678223,2018-04-19
326.9250259399414,2018-04-20
-14549.245216369629,2018-04-23
3441.2875957489014,2018-04-24
12532.773176193237,2018-04-25
2807.6936950683594,2018-04-26
-12572.627801895142,2018-04-27
889.2194728851318,2018-04-30
-9016.805644989014,2018-05-01
-419.52395248413086,2018-05-02
14179.140773773193,2018-05-03
3143.8933639526367,2018-05-04
502.9636058807373,2018-05-07
17374.452701568604,2018-05-08
8827.250810623169,2018-05-09
1802.2435035705566,2018-05-10
2058.6262950897217,2018-05-11
-9502.534543991089,2018-05-14
5888.050172805786,2018-05-15
-85.71894264221191,2018-05-16
177.49587059020996,2018-05-17
9934.891483306885,2018-05-18
-6700.6881103515625,2018-05-21
6772.6485958099365,2018-05-22
-161.35132598876953,2018-05-23
-2205.293653488159,2018-05-24
-12830.284044265747,2018-05-25
16240.717084884644,2018-05-29
-14222.273792266846,2018-05-30
10340.039394378662,2018-05-31
8821.02698135376,2018-06-01
-2057.110944747925,2018-06-04
13882.057973861694,2018-06-05
-6924.371942520142,2018-06-06
5124.388263702393,2018-06-07
534.1371822357178,2018-06-08
2272.2129306793213,2018-06-11
-7821.204069137573,2018-06-12
806.7402629852295,2018-06-13
-924.1017742156982,2018-06-14
-2729.716167449951,2018-06-15
-7672.9508419036865,2018-06-18
3696.0645656585693,2018-06-19
-5272.302627563477,2018-06-20
53.144330978393555,2018-06-21
-13683.756525039673,2018-06-22
856.2856464385986,2018-06-25
-12748.805238723755,2018-06-26
5679.461961746216,2018-06-27
-488.4384994506836,2018-06-28
1614.0294456481934,2018-06-29
