date,ensemble
2018-04-04,1000000.0
2018-04-05,1000523.3260732652
2018-04-06,987702.2250133516
2018-04-09,987641.463096428
2018-04-10,1005869.4659383928
2018-04-11,997756.3762243424
2018-04-12,1008775.6053865588
2018-04-13,1000697.4527452624
2018-04-16,1013487.3626688158
2018-04-17,1027740.8748052752
2018-04-18,1025783.7199152148
2018-04-19,1014911.9914644395
2018-04-20,1008974.9401567612
2018-04-23,1009301.8651827011
2018-04-24,994752.6199663316
2018-04-25,998193.9075620804
2018-04-26,1010726.6807382738
2018-04-27,1013534.374433342
2018-04-30,1000961.746631447
2018-05-01,1001850.966104332
2018-05-02,992834.1604593432
2018-05-03,992414.636506859
2018-05-04,1006593.7772806322
2018-05-07,1009737.6706445848
2018-05-08,1010240.6342504655
2018-05-09,1027615.0869520342
2018-05-10,1036442.3377626572
2018-05-11,1038244.581266228
2018-05-14,1040303.2075613176
2018-05-15,1030800.6730173264
2018-05-16,1036688.7231901324
2018-05-17,1036603.00424749
2018-05-18,1036780.5001180804
2018-05-21,1046715.3916013872
2018-05-22,1040014.7034910356
2018-05-23,1046787.3520868456
2018-05-24,1046626.0007608568
2018-05-25,1044420.7071073686
2018-05-29,1031590.4230631028
2018-05-30,1047831.1401479876
2018-05-31,1033608.8663557208
2018-06-01,1043948.9057500992
2018-06-04,1052769.932731453
2018-06-05,1050712.8217867052
2018-06-06,1064594.8797605669
2018-06-07,1057670.5078180467
2018-06-08,1062794.8960817491
2018-06-11,1063329.0332639848
2018-06-12,1065601.2461946642
2018-06-13,1057780.0421255266
2018-06-14,1058586.7823885118
2018-06-15,1057662.680614296
2018-06-18,1054932.9644468462
2018-06-19,1047260.0136049424
2018-06-20,1050956.078170601
2018-06-21,1045683.7755430376
2018-06-22,1045736.919874016
2018-06-25,1032053.1633489764
2018-06-26,1032909.4489954148
2018-06-27,1020160.6437566913
2018-06-28,1025840.1057184372
2018-06-29,1025351.6672189868
2018-07-02,1026965.6966646347
2018-07-03,1021427.1322553788
2018-07-05,1028588.5691760044
2018-07-06,1035950.1637677662
2018-07-09,1048103.1827120258
2018-07-10,1052523.5589857283
2018-07-11,1044461.1668384714
2018-07-12,1050863.0737677317
2018-07-13,1052554.571976163
2018-07-16,1052375.5081229487
2018-07-17,1061230.01675653
2018-07-18,1071700.9964280291
2018-07-19,1071582.050421273
2018-07-20,1067061.637317506
2018-07-23,1066281.7135076458
2018-07-24,1064459.384771627
2018-07-25,1069582.793756055
2018-07-26,1078377.6991455758
2018-07-27,1077299.324449994
2018-07-30,1076131.0914781145
2018-07-31,1080072.921081279
2018-08-01,1079789.4635239958
2018-08-02,1079871.3392504398
2018-08-03,1080715.539446744
2018-08-06,1081177.6260456708
2018-08-07,1082100.1537448207
2018-08-08,1080874.3487043658
2018-08-09,1081416.13804766
2018-08-10,1077087.533502872
2018-08-13,1075825.5042452044
2018-08-14,1082302.7979447434
2018-08-15,1077062.5384433854
2018-08-16,1083105.1158866957
2018-08-17,1084807.0579936518
2018-08-20,1087167.337285607
2018-08-21,1092379.2267343812
2018-08-22,1092520.601540732
2018-08-23,1090864.269333859
2018-08-24,1097950.4066154505
2018-08-27,1102772.1411945482
2018-08-28,1104568.0935070403
2018-08-29,1109292.657371865
2018-08-30,1091699.605896397
2018-08-31,1097272.3215867009
2018-09-04,1099887.0010440594
2018-09-05,1103457.217655494
2018-09-06,1105594.4865516124
2018-09-07,1102560.8017338444
2018-09-10,1109330.230842382
2018-09-11,1110654.5384329066
2018-09-12,1114852.5248314464
2018-09-13,1112482.5600377948
2018-09-14,1116523.472048781
2018-09-17,1112262.0279731583
2018-09-18,1115763.6109238649
2018-09-19,1112346.494417491
2018-09-20,1113745.8288721072
2018-09-21,1112117.127282248
2018-09-24,1101453.395851298
2018-09-25,1101803.8680903935
2018-09-26,1094047.7800994536
2018-09-27,1087612.3218247066
2018-09-28,1092089.6005250392
2018-10-01,1093979.9485894083
2018-10-02,1089422.1917172314
2018-10-03,1083841.3939042543
2018-10-04,1073874.9498500477
2018-10-05,1067235.9066220508
2018-10-08,1065147.4319545228
2018-10-09,1056405.1210504528
2018-10-10,1025444.0714982488
2018-10-11,1002810.443122232
2018-10-12,1015492.3848090628
2018-10-15,1012274.2045691152
2018-10-16,1031731.8540789428
2018-10-17,1026410.135390272
2018-10-18,1011684.83415497
2018-10-19,1007666.7729231832
2018-10-22,999991.0317697312
2018-10-23,991788.9912290248
2018-10-24,965250.7548175656
2018-10-25,984041.3945781324
2018-10-26,983057.3547321348
2018-10-29,982014.7712165936
2018-10-30,988271.8350790164
2018-10-31,989856.456440825
2018-11-01,997046.8862675708
2018-11-02,998213.2866635686
2018-11-05,997565.571649992
2018-11-06,997252.377342371
2018-11-07,1004177.3609511798
2018-11-08,1002836.2957074038
2018-11-09,998220.1589615314
2018-11-12,987052.9763633116
2018-11-13,987249.5780499646
2018-11-14,984169.6003246154
2018-11-15,992831.7460308056
2018-11-16,1002604.0080352172
2018-11-19,985915.7776494616
2018-11-20,970889.9745272704
2018-11-21,978243.959897006
2018-11-23,974953.3084981852
2018-11-26,991401.6114052552
2018-11-27,987875.8639232788
2018-11-28,1011442.1480107928
2018-11-29,1015758.3770942468
