,date,account_value
0,2018-01-02,1000000.0
1,2018-01-03,1001234.6259210804
2,2018-01-04,1001628.9327014607
3,2018-01-05,1003856.6035989646
4,2018-01-08,1003400.5020652686
5,2018-01-09,1008614.9540084152
6,2018-01-10,1000642.5965198403
7,2018-01-11,1003789.2248920851
8,2018-01-12,1006783.4845584383
9,2018-01-16,1004858.590935792
10,2018-01-17,1019887.7350634309
11,2018-01-18,1023941.0079363651
12,2018-01-19,1032142.9910436773
13,2018-01-22,1035862.1419411288
14,2018-01-23,1044966.6205656786
15,2018-01-24,1042447.6230484934
16,2018-01-25,1035775.7788089819
17,2018-01-26,1046870.1358135099
18,2018-01-29,1038124.9064952412
19,2018-01-30,1017274.6017635146
20,2018-01-31,1022059.1802819319
21,2018-02-01,1012234.6279961148
22,2018-02-02,992135.0370664978
23,2018-02-05,948799.8416887046
24,2018-02-06,969015.9079479093
25,2018-02-07,965465.0130302506
26,2018-02-08,925402.2981873131
27,2018-02-09,947331.6080630341
28,2018-02-12,959330.7350890846
29,2018-02-13,962641.0267047634
30,2018-02-14,981338.2259464168
31,2018-02-15,993475.5605476323
32,2018-02-16,1002327.7007948866
33,2018-02-20,1000354.2203203688
34,2018-02-21,989725.6846580382
35,2018-02-22,990323.6861260176
36,2018-02-23,1003825.9050818892
37,2018-02-26,1013947.0018447066
38,2018-02-27,1001474.2973605146
39,2018-02-28,983597.6375598402
40,2018-03-01,975746.0985388623
41,2018-03-02,982265.2908305036
42,2018-03-05,994375.5221837921
43,2018-03-06,1000146.7680432139
44,2018-03-07,1003212.5867734262
45,2018-03-08,1000538.7281746159
46,2018-03-09,1018757.0053118983
47,2018-03-12,1015290.2052906733
48,2018-03-13,1019092.8042321577
49,2018-03-14,1011856.8385159501
50,2018-03-15,1018267.2087002993
51,2018-03-16,1016880.32905013
52,2018-03-19,1001607.7111063948
53,2018-03-20,1009297.0809203788
54,2018-03-21,1002492.2805522318
55,2018-03-22,973654.5846318054
56,2018-03-23,952469.6906762352
57,2018-03-26,983399.4350654564
58,2018-03-27,965333.974026867
59,2018-03-28,961711.3482639275
60,2018-03-29,961668.6398786163
61,2018-04-02,949105.1580841618
62,2018-04-03,971146.7296770964
63,2018-04-04,986359.9182102309
64,2018-04-05,982706.6889352523
65,2018-04-06,960365.0106203565
66,2018-04-09,958541.4021761942
67,2018-04-10,977013.5244563151
68,2018-04-11,965625.4768107462
69,2018-04-12,977651.2791888476
70,2018-04-13,974998.2710302287
71,2018-04-16,993149.7900484019
72,2018-04-17,1017725.9004972392
73,2018-04-18,1010559.9119260722
74,2018-04-19,993893.7664488679
75,2018-04-20,989918.1823452836
76,2018-04-23,988526.6486449128
77,2018-04-24,981489.834935421
78,2018-04-25,984470.4528383294
79,2018-04-26,996129.8562978782
